wordpiece,tokenized by BERT
ា,[UNK]
ᴀ,[UNK]
ᴄ,[UNK]
ᴅ,[UNK]
ᴇ,[UNK]
ᴍ,[UNK]
ᴏ,[UNK]
ᴘ,[UNK]
ᴛ,[UNK]
ᴜ,[UNK]
‣,[UNK]
‹,[UNK]
※,[UNK]
‾,[UNK]
₧,[UNK]
⃣,[UNK]
ℕ,[UNK]
ℤ,[UNK]
↩,[UNK]
↵,[UNK]
⇔,[UNK]
⇥,[UNK]
⇧,[UNK]
∀,[UNK]
∃,[UNK]
∏,[UNK]
∑,[UNK]
∙,[UNK]
∟,[UNK]
∫,[UNK]
∷,[UNK]
≅,[UNK]
⊃,[UNK]
⊘,[UNK]
⊢,[UNK]
⊤,[UNK]
⊥,[UNK]
⋈,[UNK]
⋮,[UNK]
⋯,[UNK]
⌃,[UNK]
⌈,[UNK]
⌉,[UNK]
⌊,[UNK]
⌋,[UNK]
⌘,[UNK]
⌥,[UNK]
⎕,[UNK]
⏎,[UNK]
␊,[UNK]
␣,[UNK]
①,[UNK]
②,[UNK]
━,[UNK]
┌,[UNK]
┐,[UNK]
└,[UNK]
┘,[UNK]
├,[UNK]
┤,[UNK]
┬,[UNK]
┴,[UNK]
┻,[UNK]
┼,[UNK]
═,[UNK]
║,[UNK]
╔,[UNK]
╗,[UNK]
╚,[UNK]
╝,[UNK]
╟,[UNK]
╠,[UNK]
╢,[UNK]
╣,[UNK]
╤,[UNK]
╦,[UNK]
╧,[UNK]
╨,[UNK]
╩,[UNK]
╪,[UNK]
╫,[UNK]
╬,[UNK]
▀,[UNK]
▄,[UNK]
▇,[UNK]
█,[UNK]
░,[UNK]
▒,[UNK]
▓,[UNK]
□,[UNK]
▫,[UNK]
▬,[UNK]
▲,[UNK]
▶,[UNK]
▸,[UNK]
►,[UNK]
▼,[UNK]
◀,[UNK]
◄,[UNK]
◊,[UNK]
○,[UNK]
◦,[UNK]
☃,[UNK]
☐,[UNK]
☑,[UNK]
☠,[UNK]
☹,[UNK]
☺,[UNK]
☻,[UNK]
♀,[UNK]
♂,[UNK]
♟,[UNK]
♫,[UNK]
⚠,[UNK]
✅,[UNK]
✓,[UNK]
✔,[UNK]
✖,[UNK]
✗,[UNK]
✘,[UNK]
❤,[UNK]
➔,[UNK]
➜,[UNK]
➝,[UNK]
➞,[UNK]
➡,[UNK]
⟶,[UNK]
⟹,[UNK]
⠀,[UNK]
⸀,[UNK]
【,[UNK]
】,[UNK]
ㅏ,[UNK]
ㅡ,[UNK]
个,[UNK]
么,[UNK]
了,[UNK]
以,[UNK]
件,[UNK]
位,[UNK]
体,[UNK]
作,[UNK]
你,[UNK]
使,[UNK]
入,[UNK]
全,[UNK]
別,[UNK]
到,[UNK]
動,[UNK]
単,[UNK]
参,[UNK]
发,[UNK]
可,[UNK]
号,[UNK]
哈,[UNK]
在,[UNK]
多,[UNK]
好,[UNK]
字,[UNK]
市,[UNK]
开,[UNK]
愀,[UNK]
所,[UNK]
挀,[UNK]
接,[UNK]
攀,[UNK]
数,[UNK]
无,[UNK]
时,[UNK]
是,[UNK]
時,[UNK]
最,[UNK]
未,[UNK]
果,[UNK]
椀,[UNK]
每,[UNK]
決,[UNK]
测,[UNK]
渀,[UNK]
漀,[UNK]
爀,[UNK]
琀,[UNK]
理,[UNK]
用,[UNK]
界,[UNK]
県,[UNK]
码,[UNK]
硼,[UNK]
程,[UNK]
端,[UNK]
第,[UNK]
置,[UNK]
能,[UNK]
自,[UNK]
要,[UNK]
覺,[UNK]
解,[UNK]
试,[UNK]
语,[UNK]
误,[UNK]
请,[UNK]
贸,[UNK]
足,[UNK]
路,[UNK]
这,[UNK]
速,[UNK]
造,[UNK]
重,[UNK]
错,[UNK]
ﬀ,[UNK]
﹕,[UNK]
ﻮ,[UNK]
﻾,[UNK]
１,[UNK]
２,[UNK]
９,[UNK]
；,[UNK]
＝,[UNK]
ａ,[UNK]
ｅ,[UNK]
ｔ,[UNK]
ﾟ,[UNK]
￼,[UNK]
wh,w ##h
som,so ##m
cont,con ##t
ht,h ##t
fo,f ##o
inst,ins ##t
cre,cr ##e
str,st ##r
comp,com ##p
ret,re ##t
typ,ty ##p
dif,di ##f
requ,re ##qu
dis,di ##s
bec,be ##c
tw,t ##w
comm,com ##m
num,nu ##m
vari,var ##i
conf,con ##f
exp,ex ##p
ele,el ##e
cor,co ##r
rem,re ##m
gener,gene ##r
lib,li ##b
loc,lo ##c
specif,spec ##if
poss,po ##ss
vers,ve ##rs
imple,imp ##le
aut,au ##t
js,j ##s
supp,su ##pp
upd,up ##d
answ,an ##sw
att,at ##t
displ,di ##sp ##l
mem,me ##m
config,con ##fi ##g
thr,th ##r
libr,li ##br
exec,ex ##ec
includ,inc ##lu ##d
mult,mu ##lt
param,para ##m
eas,ea ##s
prov,pro ##v
blo,b ##lo
giv,gi ##v
dep,de ##p
exce,ex ##ce
rel,re ##l
defin,def ##in
ide,id ##e
paramet,para ##met
comple,com ##ple
appro,app ##ro
happ,ha ##pp
underst,under ##st
sugg,su ##gg
resp,res ##p
oper,op ##er
ent,en ##t
dele,del ##e
cons,con ##s
prod,pro ##d
stor,st ##or
div,di ##v
expl,ex ##pl
mak,ma ##k
tem,te ##m
conver,con ##ver
prob,pro ##b
init,in ##it
charact,char ##act
cle,cl ##e
ext,ex ##t
inv,in ##v
beh,be ##h
repl,rep ##l
constr,con ##st ##r
prev,pre ##v
attrib,at ##tri ##b
fil,fi ##l
enc,en ##c
struct,st ##ru ##ct
lat,la ##t
eff,e ##ff
compil,com ##pi ##l
arg,ar ##g
separ,sep ##ar
respon,res ##pon
pos,po ##s
url,ur ##l
cert,ce ##rt
plugin,plug ##in
wid,wi ##d
configur,con ##fi ##gur
templ,te ##mp ##l
gre,gr ##e
autom,auto ##m
sty,st ##y
auth,au ##th
execut,ex ##ec ##ut
langu,lang ##u
assum,ass ##um
inte,int ##e
orig,or ##ig
jquery,j ##que ##ry
decl,dec ##l
debug,de ##bu ##g
bl,b ##l
rece,rec ##e
equ,e ##qu
provid,pro ##vid
compile,com ##pile
publ,pub ##l
javascript,java ##script
extr,ex ##tr
larg,la ##rg
asp,as ##p
adv,ad ##v
dynam,d ##yna ##m
behavi,be ##ha ##vi
pers,per ##s
pres,pre ##s
partic,part ##ic
upload,up ##load
css,cs ##s
wor,wo ##r
ach,ac ##h
subm,sub ##m
sch,sc ##h
dist,di ##st
programm,program ##m
occ,o ##cc
docs,doc ##s
env,en ##v
pret,pre ##t
delete,del ##ete
login,log ##in
sever,se ##ver
json,j ##son
conc,con ##c
iter,it ##er
cau,ca ##u
remo,re ##mo
ident,id ##ent
calcul,cal ##cu ##l
rout,ro ##ut
prot,pro ##t
github,gi ##th ##ub
git,gi ##t
cou,co ##u
perm,per ##m
resol,res ##ol
vide,vi ##de
tutorial,tutor ##ial
environ,en ##vir ##on
exper,ex ##per
appre,app ##re
artic,art ##ic
desc,des ##c
comput,com ##put
retrie,re ##tri ##e
redirect,red ##ire ##ct
pur,pu ##r
incre,inc ##re
const,con ##st
anim,an ##im
sav,sa ##v
constructor,construct ##or
dri,dr ##i
simpl,sim ##pl
jsf,j ##sf
glob,g ##lo ##b
rele,re ##le
authent,au ##the ##nt
necess,nec ##ess
mysql,my ##s ##q ##l
jsfiddle,j ##sf ##id ##dle
sn,s ##n
parse,par ##se
describ,des ##cr ##ib
spl,sp ##l
optim,opt ##im
std,st ##d
py,p ##y
scen,sc ##en
admin,ad ##min
tot,to ##t
priv,pri ##v
pract,pr ##act
permiss,per ##mis ##s
alloc,all ##oc
flo,fl ##o
bott,bot ##t
navig,na ##vi ##g
determ,deter ##m
perf,per ##f
queries,que ##ries
purp,pu ##rp
techn,tech ##n
asso,ass ##o
regex,reg ##ex
disable,di ##sable
aspx,as ##p ##x
receiv,rec ##ei ##v
schem,sc ##hem
dialog,dial ##og
mvc,mv ##c
experi,ex ##per ##i
callback,call ##back
appropri,app ##rop ##ri
wrapp,wrap ##p
integr,int ##eg ##r
diff,di ##ff
ver,ve ##r
confus,con ##fus
inher,in ##her
appl,app ##l
compl,com ##pl
instr,ins ##tr
eval,eva ##l
sequ,se ##qu
dupl,du ##pl
dest,des ##t
declar,dec ##lar
compar,com ##par
runtime,run ##time
tog,to ##g
clos,cl ##os
temp,te ##mp
dll,dl ##l
entr,en ##tr
proced,pro ##ced
exe,ex ##e
commun,com ##mun
dynamically,dynamic ##ally
sdk,sd ##k
repe,rep ##e
scenari,sc ##ena ##ri
assemb,ass ##em ##b
overr,over ##r
spr,sp ##r
0x,0 ##x
dont,don ##t
pict,pic ##t
util,ut ##il
txt,tx ##t
embed,em ##bed
cur,cu ##r
browsers,browser ##s
quot,quo ##t
wik,wi ##k
transl,trans ##l
inf,in ##f
username,user ##name
evalu,eva ##lu
vert,ve ##rt
append,app ##end
snipp,s ##ni ##pp
localhost,local ##hos ##t
override,over ##ride
aff,af ##f
configure,con ##fi ##gur ##e
src,sr ##c
refresh,ref ##resh
interp,inter ##p
cir,ci ##r
frag,fra ##g
inject,in ##ject
symb,sy ##mb
cach,ca ##ch
checkbox,check ##box
prim,pri ##m
contin,con ##tin
equival,e ##qui ##val
foc,f ##oc
schema,sc ##hema
vb,v ##b
dependencies,depend ##encies
undefined,und ##efined
individ,ind ##iv ##id
impro,imp ##ro
immedi,im ##med ##i
impl,imp ##l
annot,ann ##ot
certif,ce ##rti ##f
esc,es ##c
scre,sc ##re
pointers,pointer ##s
distrib,di ##st ##ri ##b
recurs,rec ##urs
firefox,fire ##fo ##x
nested,nest ##ed
possib,po ##ssi ##b
iis,ii ##s
convers,con ##vers
migr,mig ##r
coordin,co ##ord ##in
namespace,names ##pace
upgr,up ##gr
permissions,permission ##s
invol,in ##vo ##l
wp,w ##p
datas,data ##s
headers,header ##s
rad,ra ##d
img,im ##g
activ,act ##iv
gl,g ##l
compat,com ##pa ##t
tra,tr ##a
snippet,s ##ni ##ppet
xcode,x ##code
incor,inc ##or
debugging,de ##bu ##gging
becom,be ##com
subclass,sub ##class
fre,fr ##e
scal,sc ##al
prec,pre ##c
workaround,work ##around
instanti,instant ##i
coll,col ##l
png,p ##ng
recogn,rec ##og ##n
numer,nu ##mer
seg,se ##g
dropdown,drop ##down
msdn,ms ##d ##n
cred,cr ##ed
wrapper,wrap ##per
sem,se ##m
adj,ad ##j
plugins,plug ##ins
sched,sc ##hed
repo,rep ##o
hist,his ##t
stra,st ##ra
uns,un ##s
increment,inc ##rem ##ent
embedd,em ##bed ##d
fam,fa ##m
wiki,wi ##ki
mechan,me ##chan
textbox,text ##box
reload,re ##load
guarant,gu ##aran ##t
introd,intro ##d
explan,ex ##pl ##an
manip,mani ##p
obser,ob ##ser
tempor,tempo ##r
hover,hove ##r
datab,data ##b
hor,ho ##r
validate,valid ##ate
respons,res ##pon ##s
widget,wi ##dget
updating,up ##dating
gc,g ##c
advant,ad ##vant
invoke,in ##vo ##ke
disp,di ##sp
parsing,par ##sing
templates,template ##s
phot,ph ##ot
neg,ne ##g
marg,mar ##g
popup,pop ##up
timeout,time ##out
cant,can ##t
folders,folder ##s
grad,gr ##ad
invok,in ##vo ##k
iterate,it ##erate
comparis,com ##par ##is
django,dj ##ango
eg,e ##g
rect,rec ##t
initialize,initial ##ize
termin,term ##in
keyword,key ##word
pred,pre ##d
formul,form ##ul
wcf,wc ##f
wpf,w ##pf
maven,ma ##ven
tutorials,tutor ##ials
benef,ben ##ef
occurr,occur ##r
squ,sq ##u
csv,cs ##v
utf,ut ##f
tabs,tab ##s
timestamp,times ##tam ##p
accessing,access ##ing
popul,pop ##ul
rewrite,re ##write
meas,me ##as
cursor,cu ##rso ##r
iframe,if ##ram ##e
servlet,ser ##v ##let
executable,ex ##ec ##utable
circ,ci ##rc
bootstrap,boots ##tra ##p
vm,v ##m
parser,par ##ser
cpp,cp ##p
backend,back ##end
stackoverflow,stack ##over ##flow
alph,al ##ph
helper,help ##er
qt,q ##t
imag,im ##ag
sens,sen ##s
synchron,sync ##hr ##on
usr,us ##r
asynchronous,as ##yn ##ch ##ron ##ous
analy,anal ##y
overflow,over ##flow
conv,con ##v
encrypt,en ##cr ##yp ##t
debugger,de ##bu ##gger
webser,web ##ser
opp,op ##p
padd,pad ##d
boolean,boo ##lean
frequ,fr ##e ##qu
filename,file ##name
reb,re ##b
modal,mod ##al
shad,sha ##d
async,as ##yn ##c
concat,con ##cat
clar,cl ##ar
populate,pop ##ulate
scr,sc ##r
screenshot,screens ##hot
ssl,ss ##l
compress,com ##press
interpre,inter ##pre
x86,x ##86
transpar,trans ##par
independ,ind ##ep ##end
divs,di ##vs
endpoint,end ##point
indexes,index ##es
adapter,adapt ##er
lookup,look ##up
obj,ob ##j
initialized,initial ##ized
directories,director ##ies
htaccess,h ##ta ##cc ##ess
overload,over ##load
doub,do ##ub
resize,res ##ize
horizont,horizon ##t
signific,sign ##ific
jpg,jp ##g
protot,proto ##t
padding,pad ##ding
sto,st ##o
blob,b ##lo ##b
emulator,em ##ulator
wordpress,word ##press
ubuntu,u ##bu ##nt ##u
svn,sv ##n
href,hr ##ef
hierarch,hi ##era ##rch
uitable,ui ##table
nil,ni ##l
listview,list ##view
arbit,ar ##bit
caching,ca ##ching
apis,api ##s
phys,ph ##ys
associ,ass ##oc ##i
aggre,ag ##gre
programmatically,program ##matic ##ally
ws,w ##s
webpage,web ##page
forg,for ##g
formatting,format ##ting
altern,alter ##n
jsp,j ##sp
gcc,g ##cc
xs,x ##s
accur,acc ##ur
enum,en ##um
dataset,data ##set
mongo,mon ##go
jvm,j ##v ##m
annotation,ann ##ota ##tion
continu,con ##tin ##u
markup,mark ##up
numeric,nu ##meric
togg,to ##gg
tcp,tc ##p
nav,na ##v
ord,or ##d
linq,lin ##q
opin,op ##in
concaten,con ##cate ##n
subs,sub ##s
overrid,over ##rid
cmd,cm ##d
sqlite,sql ##ite
recursive,rec ##urs ##ive
encode,en ##code
tomcat,tom ##cat
urls,ur ##ls
initialization,initial ##ization
ids,id ##s
infin,in ##fin
jav,ja ##v
saf,sa ##f
pseud,ps ##eu ##d
deprec,de ##pre ##c
identifier,id ##ent ##ifier
mut,mu ##t
multip,multi ##p
unn,un ##n
achie,ac ##hi ##e
executes,execute ##s
frameworks,framework ##s
triv,tri ##v
params,para ##ms
hibernate,hi ##ber ##nate
ssh,ss ##h
uri,ur ##i
overl,over ##l
ef,e ##f
perl,per ##l
arraylist,array ##list
uitableview,ui ##table ##view
html5,html ##5
arr,ar ##r
footer,foot ##er
deleting,del ##eti ##ng
npm,np ##m
anch,an ##ch
breakpoint,break ##point
readable,read ##able
comma,com ##ma
doesnt,doesn ##t
rename,ren ##ame
foreach,fore ##ach
notifications,notification ##s
datat,data ##t
lic,li ##c
strugg,st ##rug ##g
brack,bra ##ck
guid,gui ##d
ini,in ##i
extre,ex ##tre
xxx,xx ##x
deprecated,de ##pre ##cated
goog,goo ##g
datetime,date ##time
inserting,insert ##ing
strateg,st ##rate ##g
uiview,ui ##view
mov,mo ##v
aws,aw ##s
clo,cl ##o
hex,he ##x
allocate,all ##oca ##te
ug,u ##g
subst,sub ##st
fav,fa ##v
cached,cache ##d
subsequ,sub ##se ##qu
opengl,open ##gl
slider,slide ##r
descript,des ##cript
sys,sy ##s
dra,dr ##a
specifying,specify ##ing
lif,li ##f
escap,es ##cap
semant,se ##man ##t
docker,dock ##er
conven,con ##ven
iterator,it ##era ##tor
rectangle,rec ##tangle
wel,we ##l
toggle,to ##ggle
hy,h ##y
delimit,del ##imi ##t
shortcut,short ##cut
gradle,gr ##ad ##le
checkout,check ##out
consum,con ##sum
handlers,handler ##s
reprod,rep ##rod
dro,dr ##o
enumer,en ##ume ##r
sudo,sud ##o
instantiate,instant ##iate
autoc,auto ##c
unnecess,un ##ne ##ces ##s
refact,ref ##act
installer,install ##er
suc,su ##c
ptr,pt ##r
fac,fa ##c
demonstr,demons ##tr
bul,bu ##l
classpath,class ##path
satisf,sat ##is ##f
thous,thou ##s
prin,pri ##n
pag,pa ##g
v2,v ##2
vend,ve ##nd
wont,won ##t
formatted,format ##ted
bitmap,bit ##ma ##p
serialize,serial ##ize
router,route ##r
decode,deco ##de
vba,v ##ba
dict,di ##ct
mong,mon ##g
webapp,web ##app
animate,an ##imate
subscrib,sub ##sc ##ri ##b
libs,li ##bs
purch,pu ##rch
workflow,work ##flow
vim,vi ##m
assigning,assign ##ing
reuse,re ##use
downloading,download ##ing
uiimage,ui ##ima ##ge
decre,dec ##re
tok,to ##k
vs201,vs ##20 ##1
optimize,opt ##imi ##ze
browse,brows ##e
viewmodel,view ##mo ##del
preser,pre ##ser
intell,intel ##l
notify,not ##ify
nss,ns ##s
ded,de ##d
silverlight,silver ##light
oauth,o ##au ##th
jdk,jd ##k
reser,res ##er
tokens,token ##s
combin,comb ##in
primit,pri ##mit
tfs,t ##fs
ctrl,ct ##rl
oncreate,on ##cre ##ate
storyboard,story ##board
delphi,del ##phi
v1,v ##1
overwr,over ##wr
subt,sub ##t
minim,mini ##m
cron,cr ##on
parenthes,parent ##hes
zend,zen ##d
workspace,works ##pace
substit,sub ##sti ##t
s3,s ##3
cg,c ##g
grep,gr ##ep
onclick,on ##cl ##ick
compiles,com ##pile ##s
thumbn,thumb ##n
parsed,par ##sed
xaml,x ##am ##l
ascii,as ##ci ##i
quant,quan ##t
overlay,over ##lay
elimin,eli ##min
radi,ra ##di
imm,im ##m
deserial,des ##eria ##l
mongodb,mon ##go ##db
whitespace,whites ##pace
fonts,font ##s
tmp,t ##mp
prepar,prep ##ar
encrypted,en ##cr ##yp ##ted
checkboxes,check ##box ##es
insp,ins ##p
unc,un ##c
anno,ann ##o
seper,sep ##er
heav,he ##av
bund,bun ##d
sel,se ##l
duplicates,duplicate ##s
uploading,up ##loading
datagrid,data ##gr ##id
textview,text ##view
authenticate,authentic ##ate
nginx,ng ##in ##x
beginner,begin ##ner
redirected,red ##ire ##cted
annotations,ann ##ota ##tions
textarea,text ##are ##a
destruct,des ##truct
webservice,web ##ser ##vic ##e
svg,sv ##g
customize,custom ##ize
htm,h ##tm
recursion,rec ##urs ##ion
malloc,mall ##oc
err,er ##r
proc,pro ##c
illustr,ill ##ust ##r
rewr,re ##wr
thats,that ##s
looping,loop ##ing
overwrite,over ##write
preced,pre ##ced
lik,li ##k
scop,sc ##op
placeh,place ##h
pom,po ##m
chars,char ##s
newbie,new ##bie
uninstall,un ##ins ##tal ##l
bool,boo ##l
w3,w ##3
fb,f ##b
overriding,over ##riding
bindings,binding ##s
surpr,sur ##pr
locale,local ##e
redirects,red ##ire ##cts
widgets,wi ##dgets
attr,at ##tr
tweak,t ##we ##ak
toolbar,tool ##bar
qual,qu ##al
ine,in ##e
simplify,sim ##plify
privile,pri ##vil ##e
cra,cr ##a
func,fun ##c
orm,or ##m
constants,constant ##s
crit,cr ##it
btw,bt ##w
intelli,intel ##li
1234,123 ##4
simult,sim ##ult
cli,cl ##i
setter,set ##ter
jpa,jp ##a
offline,off ##line
polyg,poly ##g
inserts,insert ##s
scripting,script ##ing
defaults,default ##s
serialization,serial ##ization
importing,import ##ing
snapshot,snaps ##hot
encaps,en ##cap ##s
investig,invest ##ig
printf,print ##f
contrib,con ##tri ##b
loader,load ##er
plist,pl ##ist
princi,pri ##nc ##i
multipl,multi ##pl
everytime,every ##time
linker,link ##er
indent,ind ##ent
simultane,sim ##ult ##ane
gpu,gp ##u
keywords,key ##words
dns,d ##ns
postgres,post ##gre ##s
ie8,ie ##8
sharepoint,share ##point
deleg,del ##eg
millisec,mill ##ise ##c
numpy,nu ##mp ##y
awk,aw ##k
indexing,index ##ing
xslt,x ##sl ##t
ien,ie ##n
toolt,tool ##t
renders,render ##s
filesystem,files ##yst ##em
aggreg,ag ##gre ##g
repositories,rep ##osi ##tori ##es
autocomplete,auto ##com ##ple ##te
optimized,opt ##imi ##zed
tuple,tu ##ple
args,ar ##gs
infl,in ##fl
stylesheet,styles ##hee ##t
nsstring,ns ##st ##ring
querying,query ##ing
constructors,construct ##ors
apk,ap ##k
retrieving,re ##tri ##eving
sender,send ##er
compilers,compiler ##s
redund,red ##und
layouts,layout ##s
medi,med ##i
uncheck,un ##che ##ck
timezone,time ##zone
gwt,g ##wt
heroku,hero ##ku
diag,dia ##g
ftp,ft ##p
drawable,draw ##able
hom,ho ##m
cms,cm ##s
firewall,fire ##wall
trunc,tr ##un ##c
ens,en ##s
selenium,se ##len ##ium
viewdid,view ##di ##d
fetching,fetch ##ing
suppl,su ##pp ##l
circum,ci ##rc ##um
spreadsheet,spreads ##hee ##t
animations,animation ##s
iterating,it ##era ##ting
interse,inter ##se
postgresql,post ##gre ##s ##q ##l
decrypt,dec ##ry ##pt
jdbc,jd ##bc
sed,se ##d
fixes,fix ##es
unders,under ##s
tostring,to ##st ##ring
msg,ms ##g
instantiated,instant ##iated
applic,app ##lic
passwords,password ##s
pk,p ##k
laravel,lara ##vel
8080,80 ##80
x64,x ##64
callbacks,call ##backs
a€,a ##€
ienumerable,ie ##num ##era ##ble
angularjs,angular ##js
immutable,im ##mut ##able
webserver,web ##ser ##ver
subd,sub ##d
sprite,sp ##rite
getter,get ##ter
sudd,sud ##d
sandbox,sand ##box
jb,j ##b
newline,new ##line
combobox,combo ##box
scrollbar,scroll ##bar
xpath,xp ##ath
sizeof,size ##of
coun,co ##un
gridview,grid ##view
isol,iso ##l
varchar,var ##cha ##r
threading,thread ##ing
javax,java ##x
pdo,pd ##o
exc,ex ##c
opencv,open ##c ##v
subdomain,sub ##dom ##ain
osx,os ##x
hadoop,had ##oop
datasource,data ##so ##ur ##ce
alphab,alpha ##b
uploads,up ##load ##s
stackover,stack ##over
v3,v ##3
picker,pick ##er
subtract,sub ##tra ##ct
validator,valid ##ator
chall,cha ##ll
declarations,declaration ##s
asynctask,as ##yn ##cta ##sk
xy,x ##y
tableview,table ##view
unt,un ##t
univers,un ##iver ##s
nhibernate,nh ##ibe ##rna ##te
authenticated,authentic ##ated
macros,macro ##s
haskell,has ##kell
xsl,x ##sl
memc,me ##mc
substring,sub ##st ##ring
exerc,ex ##er ##c
susp,su ##sp
magento,mage ##nto
synchronous,sync ##hr ##ono ##us
automate,auto ##mate
deploying,deploy ##ing
compreh,com ##pre ##h
selectors,selector ##s
whats,what ##s
wm,w ##m
placeholder,place ##holder
stdout,st ##dou ##t
erb,er ##b
tooltip,tool ##tip
ment,men ##t
submitting,submit ##ting
gn,g ##n
uitext,ui ##text
base64,base ##64
pagination,pa ##gina ##tion
tit,ti ##t
milliseconds,mill ##ise ##con ##ds
enclo,en ##cl ##o
xamarin,x ##ama ##rin
uiviewcontroller,ui ##view ##con ##tro ##ller
implicitly,implicit ##ly
shap,sha ##p
ec2,ec ##2
bri,br ##i
cordova,cord ##ova
ess,es ##s
matlab,mat ##lab
viewport,view ##port
recreate,rec ##reate
decomp,deco ##mp
misunder,mis ##under
imageview,image ##view
fundament,fund ##ament
webview,web ##view
thumbnail,thumb ##nail
trad,tr ##ad
craw,cr ##aw
df,d ##f
fetched,fetch ##ed
seperate,sep ##erate
dism,di ##sm
firebase,fire ##base
dealloc,deal ##lo ##c
preprocess,prep ##ro ##ces ##s
mutex,mute ##x
inherits,inherit ##s
ejb,e ##j ##b
sil,si ##l
aud,au ##d
yyy,y ##y ##y
xls,xl ##s
disconnect,disco ##nne ##ct
ls,l ##s
symfony,sy ##m ##fo ##ny
gro,gr ##o
reus,re ##us
cand,can ##d
shader,shade ##r
jq,j ##q
edittext,edit ##text
namespaces,names ##pace ##s
sidebar,side ##bar
amb,am ##b
pul,pu ##l
extern,ex ##tern
surr,sur ##r
unw,un ##w
ey,e ##y
win32,win ##32
mysite,my ##sit ##e
datatype,data ##type
appended,app ##ended
stret,st ##ret
destructor,des ##truct ##or
stri,st ##ri
exclud,ex ##cl ##ud
reinstall,reins ##tal ##l
yml,y ##ml
separator,sep ##arat ##or
pane,pan ##e
gif,gi ##f
solves,solve ##s
asc,as ##c
gmail,gma ##il
frontend,front ##end
recip,rec ##ip
mysqli,my ##s ##q ##li
workbook,work ##book
invoking,in ##voking
mutable,mu ##table
acqu,ac ##qu
viewcontroller,view ##con ##tro ##ller
textfield,text ##field
synchronization,sync ##hr ##oni ##zation
recursively,rec ##urs ##ively
00000,000 ##00
googling,goo ##gling
gist,gi ##st
pasted,paste ##d
udp,ud ##p
snippets,s ##ni ##ppet ##s
appending,app ##ending
v4,v ##4
subscribe,sub ##scribe
wx,w ##x
buffers,buffer ##s
opacity,op ##ac ##ity
multiply,multi ##ply
drupal,dr ##up ##al
logout,logo ##ut
deb,de ##b
recomp,rec ##omp
viol,vi ##ol
occas,o ##cca ##s
backslash,backs ##lash
subquery,sub ##que ##ry
converter,convert ##er
powershell,powers ##hell
asynchronously,as ##yn ##ch ##ron ##ously
clr,cl ##r
postback,post ##back
blogspot,blogs ##pot
scheduler,schedule ##r
xyz,x ##y ##z
jboss,j ##bos ##s
nsm,ns ##m
intellij,intel ##li ##j
2f,2 ##f
rgb,r ##gb
reve,rev ##e
theor,theo ##r
polygon,poly ##gon
reboot,re ##boot
clon,cl ##on
log4j,log ##4 ##j
compan,com ##pan
editable,edit ##able
behaves,behave ##s
firebug,fire ##bu ##g
predicate,pre ##dicate
thresh,th ##resh
candid,candi ##d
shutdown,shut ##down
invent,in ##vent
polymorph,poly ##mo ##rp ##h
typo,ty ##po
irre,ir ##re
interv,inter ##v
initializer,initial ##izer
pivot,pi ##vot
tbl,tb ##l
shr,sh ##r
mozilla,mo ##zi ##lla
hashmap,hash ##ma ##p
googled,google ##d
redis,red ##is
logger,log ##ger
emacs,em ##ac ##s
phonegap,phone ##ga ##p
analyz,anal ##y ##z
